ID	Name	Description
6	鹿的	[最大生命 +25] 
7	狼的	[攻擊力 +10] 
8	熊的	[攻擊力 +30] 
9	羊的	[最大生命 +1%] 
10	牛的	[最大飽食度 +10] (適用於消耗品)[飽食度增加:3] 
11	龍的	[攻擊力 +10%] [移動速度 +5%] [空中移動速度 +5%] 
12	古老的	[攻擊力 -20] [防禦力 -50] 
13	樸素的	[最大生命 +10] 
15	傀儡的	[攻擊力 +2%] [最大生命 -5%] 
18	鋒利的	[攻擊力 +1%] [防禦力 +20] 
20	堅硬的	[防禦力 +50] 
22	溪谷的	[最大生命 -25] [物理暴擊倍率 +10%] 
25	崩裂的	[攻擊力 -10%] [防禦力 -10%] [販售價格 -20%] 
27	女神的	(無法堆疊)[攻擊力 +77] [攻擊力 +7%] [最大生命 +7%] [最大魔力 +7%] [最大體力 +7%] 
28	冷酷的	[攻擊力 +5%] [最大魔力 -5%] 
29	草原的	[最大體力 +5%] 
31	勝利的	[攻擊力 +10%] [物理暴擊倍率 +10%] [物理暴擊率 +10%] [攻擊速度 +5%] 
32	野生的	[最大生命 +5%] [最大體力 +5%] [移動速度 +5%] 
34	鑽石的	[攻擊力 +30] [防禦力 +3%] 
35	研磨的	[攻擊力 +5%] [最大魔力 +2%] [物理暴擊率 +2%] 
37	閃耀的	[最大魔力 +10%] [物理暴擊率 +2%] 
38	堅固的	[防禦力 +100] [防禦力 +1%] 
44	守護的	[防禦力 +5%] 
46	狂暴的	(無法堆疊)[攻擊力 +20%] [防禦力 -20%] [最大魔力 -40%] [攻擊速度 +10%] 
51	致命的	[攻擊力 +5%] [魔法攻擊力 +5%] [最大生命 -10%] 
54	古代的	[攻擊力 +30] [魔法攻擊力 +2%] [最大魔力 +20] 
62	盜賊的	[攻擊力 +5%] [移動速度 +5%] [攻擊速度 +5%] 
63	生命的	[最大生命 +10%] 
71	破壞的	(無法堆疊)[攻擊力 +200] [攻擊力 +5%] [防禦力 -20%] [物理暴擊率 +5%] 
72	彩虹的	[攻擊力 +3%] [防禦力 +3%] [最大生命 +7%] [最大魔力 +7%] [最大飽食度 +7%] [最大體力 +7%] 
73	危險的	[攻擊力 +30] [攻擊力 +3%] [防禦力 -50] [物理暴擊倍率 +2%] [物理暴擊率 +2%] 
86	巨人的	[最大生命 +5%] [最大飽食度 +5%] [移動速度 -3%] [空中移動速度 -3%] [攻擊速度 -10%] 
89	水牛的	[移動速度 +5%] 
90	長頸鹿的	[魔法攻擊力 +20] 
91	象的	[最大生命 +50] 
92	野豬的	[攻擊力 +20] 
93	駱駝的	[最大魔力 +20] 
94	雞的	[最大體力 +5%] 
95	狐狸的	[魔法攻擊力 +2%] 
96	黑尾鷗	[空中移動速度 +5%] 
97	豬的	[最大飽食度 +20] 
98	生的	(適用於消耗品)[生命傷害:10] 
99	烤的	(適用於消耗品)[生命回復:5] [飽食度增加:10] 
100	燒焦的	(適用於消耗品)[生命回復:1] 
101	乾燥的	(適用於消耗品)[生命回復:10] 
103	大猩猩的	[攻擊力 +20] [攻擊力 +1%] 
104	鱷魚的	[攻擊力 +15] [攻擊力 +1%] 
105	瀕死的	[最大生命 -5%] (適用於消耗品)[生命傷害:10] [魔力傷害:50] [飽食度減少:10] 
106	新鮮的	[最大生命 +5%] (適用於消耗品)[生命回復:25] [魔力回復:25] [飽食度增加:5] 
107	傳說的	[攻擊力 +75] [移動速度 +8%] [空中移動速度 +3%] [攻擊速度 +5%] (適用於消耗品)[生命回復:100] [魔力回復:100] 
108	活蹦亂跳的	[魔法攻擊力 +30] [魔法攻擊力 +3%] [攻擊速度 +5%] (適用於消耗品)[生命回復:150] [魔力傷害:50] [飽食度增加:25] 
109	巨大的	[攻擊力 +10] [防禦力 +30] [最大生命 +10] [最大生命 +5%] (適用於消耗品)[飽食度增加:100] 
110	潮濕的	[最大生命 -5] 
111	人的	[防禦力 +50] 
112	獵人的	[攻擊力 +1] [對動物特效 +80%] 
113	山民的	[攻擊力 +1] 
114	砂塵的	[攻擊力 +1] 
115	集中的	[物理暴擊率 +10%] 
116	小精靈的	[魔法攻擊力 +2%] [最大魔力 +10] 
117	小妖精的	[魔法攻擊力 +15] [最大魔力 +10] 
